Source,Destination,FlowType,Expression,ValueMergeType,MappingSourceAsString
dn,distinguishedName,Direct,,Update,dn
authOrig,authOrig,Direct,,Update,authOrig
cn,cn,Direct,,Update,cn
,description,Expression,"IIF(IsNullOrEmpty([description]),NULL,Left(Trim(Item([description],1)),448))",Update,"IIF(IsNullOrEmpty([description]),NULL,Left(Trim(Item([description],1)),448))"
,displayName,Expression,"IIF(IsNullOrEmpty([displayName]),[cn],[displayName])",Update,"IIF(IsNullOrEmpty([displayName]),[cn],[displayName])"
dLMemSubmitPerms,dLMemSubmitPerms,Direct,,Update,dLMemSubmitPerms
dLMemRejectPerms,dLMemRejectPerms,Direct,,Update,dLMemRejectPerms
,extensionAttribute1,Expression,Trim([extensionAttribute1]),Update,Trim([extensionAttribute1])
,extensionAttribute2,Expression,Trim([extensionAttribute2]),Update,Trim([extensionAttribute2])
,extensionAttribute3,Expression,Trim([extensionAttribute3]),Update,Trim([extensionAttribute3])
,extensionAttribute4,Expression,Trim([extensionAttribute4]),Update,Trim([extensionAttribute4])
,extensionAttribute5,Expression,Trim([extensionAttribute5]),Update,Trim([extensionAttribute5])
,extensionAttribute6,Expression,Trim([extensionAttribute6]),Update,Trim([extensionAttribute6])
,extensionAttribute7,Expression,Trim([extensionAttribute7]),Update,Trim([extensionAttribute7])
,extensionAttribute8,Expression,Trim([extensionAttribute8]),Update,Trim([extensionAttribute8])
,extensionAttribute9,Expression,Trim([extensionAttribute9]),Update,Trim([extensionAttribute9])
,extensionAttribute10,Expression,Trim([extensionAttribute10]),Update,Trim([extensionAttribute10])
,extensionAttribute11,Expression,Trim([extensionAttribute11]),Update,Trim([extensionAttribute11])
,extensionAttribute12,Expression,Trim([extensionAttribute12]),Update,Trim([extensionAttribute12])
,extensionAttribute13,Expression,Trim([extensionAttribute13]),Update,Trim([extensionAttribute13])
,extensionAttribute14,Expression,Trim([extensionAttribute14]),Update,Trim([extensionAttribute14])
,extensionAttribute15,Expression,Trim([extensionAttribute15]),Update,Trim([extensionAttribute15])
,legacyExchangeDN,Expression,"IIF(IsPresent([legacyExchangeDN]), [legacyExchangeDN], NULL)",Update,"IIF(IsPresent([legacyExchangeDN]), [legacyExchangeDN], NULL)"
,mail,Expression,Trim([mail]),Update,Trim([mail])
,mailNickname,Expression,"IIF(IsPresent([mailNickname]), [mailNickname], [cn])",Update,"IIF(IsPresent([mailNickname]), [mailNickname], [cn])"
msDS-HABSeniorityIndex,msDS-HABSeniorityIndex,Direct,,Update,msDS-HABSeniorityIndex
msDS-PhoneticDisplayName,msDS-PhoneticDisplayName,Direct,,Update,msDS-PhoneticDisplayName
msExchExtensionCustomAttribute1,msExchExtensionCustomAttribute1,Direct,,Update,msExchExtensionCustomAttribute1
msExchExtensionCustomAttribute2,msExchExtensionCustomAttribute2,Direct,,Update,msExchExtensionCustomAttribute2
msExchExtensionCustomAttribute3,msExchExtensionCustomAttribute3,Direct,,Update,msExchExtensionCustomAttribute3
msExchExtensionCustomAttribute4,msExchExtensionCustomAttribute4,Direct,,Update,msExchExtensionCustomAttribute4
msExchExtensionCustomAttribute5,msExchExtensionCustomAttribute5,Direct,,Update,msExchExtensionCustomAttribute5
msExchHideFromAddressLists,msExchHideFromAddressLists,Direct,,Update,msExchHideFromAddressLists
msExchRecipientDisplayType,msExchRecipientDisplayType,Direct,,Update,msExchRecipientDisplayType
msExchRecipientTypeDetails,msExchRecipientTypeDetails,Direct,,Update,msExchRecipientTypeDetails
msExchRequireAuthToSendTo,msExchRequireAuthToSendTo,Direct,,Update,msExchRequireAuthToSendTo
msExchSenderHintTranslations,msExchSenderHintTranslations,Direct,,Update,msExchSenderHintTranslations
,proxyAddresses,Expression,"RemoveDuplicates(Trim(ImportedValue(""proxyAddresses"")))",Update,"RemoveDuplicates(Trim(ImportedValue(""proxyAddresses"")))"
,sourceAnchor,Expression,ConvertToBase64([objectGUID]),Update,ConvertToBase64([objectGUID])
objectGUID,sourceAnchorBinary,Direct,,Update,objectGUID
Contact,sourceObjectType,Constant,,Update,Contact
,telephoneNumber,Expression,Trim([telephoneNumber]),Update,Trim([telephoneNumber])
unauthOrig,unauthOrig,Direct,,Update,unauthOrig
